"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
11,1,0,0,1,1,0,0,1,0,1,0,5,5,4,5,6,7,6,7,5,6,30,15,5,50,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
12,1,0,0,1,1,0,1,1,1,1,0,5,6,6,5,7,6,5,5,5,5,10,0,45,45,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
14,1,0,0,1,0,0,0,0,0,1,0,5,6,2,6,6,6,6,6,6,6,50,10,10,30,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
22,1,0,0,1,1,1,1,0,0,1,0,7,7,7,7,7,7,7,7,7,7,35,10,20,35,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
24,1,0,1,1,1,0,0,0,1,0,0,5,5,5,3,6,6,6,6,5,6,50,5,30,15,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
31,0,1,0,1,1,0,0,0,0,1,0,4,3,4,4,3,4,4,4,5,5,25,20,20,35,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
40,0,1,0,1,1,0,1,0,0,0,0,4,5,4,4,4,4,4,4,5,4,30,10,25,35,2,"male",3,"25-29","Germany",3,"Student",4,"Graduate",3,"1001-1500€"
45,1,1,0,1,1,1,1,1,1,0,0,6,6,6,7,2,4,5,3,4,5,22,15,28,35,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
59,0,1,0,0,1,1,1,1,0,1,0,4,5,2,5,4,5,5,5,5,5,0,0,20,80,2,"male",3,"25-29","Turkey",1,"Employed",3,"Undergraduate",2,"501-1000€"
66,0,1,0,1,1,1,1,0,0,0,0,6,6,2,3,5,3,3,5,4,3,15,30,30,25,2,"male",3,"25-29","Turkey",1,"Employed",3,"Undergraduate",3,"1001-1500€"
67,0,1,0,1,1,1,1,1,1,1,0,6,4,3,6,4,4,6,4,6,5,30,20,30,20,2,"male",3,"25-29","Turkey",1,"Employed",4,"Graduate",2,"501-1000€"
76,0,0,0,0,0,0,0,0,0,1,0,2,2,1,4,2,4,5,5,4,5,33,2,30,35,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
78,1,0,0,0,1,1,0,0,0,1,0,3,2,2,3,2,6,6,4,4,3,0,0,40,60,1,"female",3,"25-29","Turkey",1,"Employed",4,"Graduate",8,"rather not say"
81,0,0,0,1,1,0,0,0,0,0,0,2,2,2,4,2,4,2,5,4,5,40,10,30,20,2,"male",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
88,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,3,5,50,5,20,25,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
95,0,0,0,1,1,0,1,0,0,1,0,2,2,1,4,2,3,4,4,4,5,20,10,30,40,3,"Prefer not to answer",3,"25-29","Turkey",1,"Employed",4,"Graduate",8,"rather not say"
96,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,4,2,3,3,2,3,5,5,30,60,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
